Date,AGG,EEM,EFA,GLD,SPY,TLT,VNQ
2016-08-08,84.53540802001953,29.621639251708984,43.10916519165039,127.44000244140625,185.7378692626953,104.1885757446289,60.87027359008789
2016-08-09,84.7538070678711,29.822437286376953,43.45177459716797,127.95999908447266,185.8485870361328,105.21350860595703,61.199867248535156
2016-08-10,84.85177612304688,29.830476760864258,43.600738525390625,128.55999755859375,185.3886260986328,105.62039184570312,61.13260269165039
2016-08-11,84.62580108642578,30.21600914001465,43.91354751586914,127.66999816894531,186.24893188476562,104.67845153808594,60.43976974487305
2016-08-12,84.82913208007812,30.10355567932129,43.801822662353516,127.4000015258789,186.08714294433594,105.56011962890625,60.69536209106445
2016-08-15,84.67851257324219,30.416799545288086,43.97313690185547,127.83999633789062,186.62379455566406,104.56541442871094,60.63482666015625
2016-08-16,84.62580108642578,30.28026008605957,43.90610122680664,128.47000122070312,185.66122436523438,104.28659057617188,59.90835189819336
2016-08-17,84.78394317626953,30.08749771118164,43.89120101928711,128.5,186.0104522705078,104.91204071044922,60.15048599243164
2016-08-18,84.90448760986328,30.368602752685547,44.114646911621094,129.11000061035156,186.4278564453125,105.07781219482422,59.92850875854492
2016-08-19,84.71622467041016,30.199932098388672,43.786922454833984,127.97000122070312,186.15525817871094,104.52780151367188,59.54508590698242
2016-08-22,84.84422302246094,29.79833984375,43.83161544799805,127.77999877929688,186.146728515625,105.40941619873047,59.86799621582031
2016-08-23,84.86677551269531,29.677865982055664,44.017818450927734,127.76000213623047,186.52149963378906,105.5224609375,59.901615142822266
2016-08-24,84.83670806884766,29.758182525634766,43.91354751586914,126.33999633789062,185.56753540039062,105.27378845214844,59.6392822265625
2016-08-25,84.74628448486328,29.782278060913086,43.73479080200195,126.2300033569336,185.43968200683594,104.87438201904297,59.90835189819336
2016-08-26,84.61071014404297,29.525257110595703,43.47411346435547,126.05000305175781,185.0905303955078,104.26399230957031,59.3163948059082
2016-08-29,84.84422302246094,29.75015640258789,43.60816955566406,126.30000305175781,186.0018768310547,105.65805053710938,59.901615142822266
2016-08-30,84.79899597167969,29.669832229614258,43.54860305786133,125.02999877929688,185.6952667236328,105.2511978149414,59.787261962890625
2016-08-31,84.78394317626953,29.34052848815918,43.45920944213867,124.77999877929688,185.1671905517578,105.40181732177734,59.847816467285156
2016-09-01,84.85789489746094,29.565420150756836,43.75714111328125,125.29000091552734,185.17568969726562,105.51814270019531,59.69981384277344
